Date,ICG (t),ICG (t-1),ICG (t-2),ICG (t-3),ICG (t-4)
2015-03-31 00:00:00,12670,,,,
2015-06-30 00:00:00,16086,,,,
2015-09-30 00:00:00,15756,,,,
2015-12-31 00:00:00,17918,,,,
2016-03-31 00:00:00,15784,17918,15756,16086,12670
2016-06-30 00:00:00,17687,15784,17918,15756,16086
2016-09-30 00:00:00,15624,17687,15784,17918,15756
2016-12-31 00:00:00,17883,15624,17687,15784,17918
2017-03-31 00:00:00,16408,17883,15624,17687,15784
2017-06-30 00:00:00,17950,16408,17883,15624,17687
2017-09-30 00:00:00,17953,17950,16408,17883,15624
2017-12-31 00:00:00,18725,17953,17950,16408,17883
2018-03-31 00:00:00,16857,18725,17953,17950,16408
2018-06-30 00:00:00,17512,16857,18725,17953,17950
2018-09-30 00:00:00,18973,17512,16857,18725,17953
2018-12-31 00:00:00,19688,18725,16857,17512,18973
2019-03-31 00:00:00,16967,16857,17512,18973,19688
2019-06-30 00:00:00,18838,17512,18973,19688,16967
2019-09-30 00:00:00,18504,18973,19688,16967,18838
2019-12-31 00:00:00,19704,19688,16967,18838,18504
2020-03-31 00:00:00,17778,16967,18838,18504,19704
2020-06-30 00:00:00,17090,18838,18504,19704,17778
2020-09-30 00:00:00,,18504,19704,17778,17090
