Date,FS,ICG,TSP,SOM,SOPC,CC,CCD,LOWT,CCS,LDH,NM,FBM,MCF,MSW,EMP,MIER,PCI
2015-03-31,12329.0,12670.0,1691.0,109248.0,149137.0,772022.0,47237.0,47074.0,106502.0,78208.0,1058073.0,1811.0,1720.0,16333.0,42245.0,73.0,154769.0
2015-06-30,12276.0,16086.0,1701.0,93418.0,137471.0,772841.0,45035.0,49090.0,103830.0,74394.0,1064813.0,1757.0,1697.0,16164.0,42410.0,72.0,154020.0
2015-09-30,12561.0,15756.0,2439.0,86952.0,145183.0,780142.0,47806.0,50824.0,104109.0,74320.0,1056658.0,1652.0,1611.0,16166.0,42473.0,70.0,164632.0
2015-12-31,13161.0,17918.0,2791.0,91184.0,159489.0,787397.0,51045.0,52723.0,106132.0,79543.0,1064148.0,1677.0,1673.0,16832.0,42586.0,64.0,161678.0
2016-03-31,13713.0,15784.0,1920.0,106224.0,117084.0,788948.0,46882.0,47511.0,106797.0,73713.0,1084627.0,1680.0,1673.0,17367.0,42548.0,73.0,162611.0
2016-06-30,13514.0,17687.0,1802.0,95922.0,127293.0,786323.0,46972.0,49096.0,105594.0,72190.0,1069003.0,1651.0,1658.0,17156.0,42582.0,79.0,163474.0
2016-09-30,13502.0,15624.0,2240.0,95237.0,126532.0,788162.0,48714.0,49586.0,106605.0,72813.0,1067429.0,1661.0,1685.0,17545.0,42769.0,74.0,174771.0
2016-12-31,14628.0,17883.0,1783.0,98960.0,143676.0,793151.0,50516.0,52163.0,109188.0,76023.0,1110075.0,1644.0,1673.0,18186.0,42847.0,70.0,171404.0
2017-03-31,15130.0,16408.0,1776.0,108222.0,127528.0,793685.0,49791.0,52945.0,108933.0,76219.0,1160954.0,1702.0,1749.0,18578.0,43190.0,77.0,173330.0
2017-06-30,15514.0,17950.0,2712.0,106104.0,128215.0,793501.0,49645.0,49484.0,108802.0,75348.0,1175978.0,1766.0,1837.0,19206.0,43404.0,81.0,174884.0
2017-09-30,15875.0,17953.0,3639.0,113208.0,126035.0,794751.0,50379.0,50947.0,110053.0,77681.0,1184524.0,1763.0,1845.0,19327.0,43555.0,77.0,187229.0
2017-12-31,16624.0,18725.0,3319.0,107316.0,132892.0,799510.0,54895.0,53485.0,113093.0,85373.0,1230829.0,1754.0,1867.0,19769.0,43801.0,83.0,183258.0
2018-03-31,17087.0,16857.0,3070.0,111233.0,121060.0,802972.0,54300.0,52312.0,114204.0,86535.0,1258638.0,1863.0,1933.0,20566.0,44125.0,91.0,184671.0
2018-06-30,17542.0,17512.0,3028.0,103285.0,139863.0,868529.0,53200.0,55527.0,113055.0,81132.0,1249868.0,1767.0,1819.0,20923.0,44519.0,133.0,188748.0
2018-09-30,17622.0,18973.0,3029.0,125960.0,144005.0,879758.0,57656.0,57952.0,115763.0,84231.0,1236772.0,1799.0,1854.0,21067.0,44705.0,108.0,203831.0
2018-12-31,17739.0,19688.0,3483.0,131304.0,128158.0,882699.0,56384.0,62473.0,117220.0,86595.0,1262142.0,1693.0,1713.0,21481.0,44864.0,97.0,198601.0
2019-03-31,18652.0,16967.0,2278.0,132716.0,131090.0,880615.0,54356.0,57092.0,117975.0,85736.0,1278293.0,1678.0,1739.0,21978.0,45055.0,86.0,198858.0
2019-06-30,19155.0,18838.0,2502.0,124764.0,139709.0,880203.0,55384.0,55485.0,117321.0,84444.0,1291613.0,1655.0,1742.0,21787.0,45347.0,93.0,203386.0
2019-09-30,19039.0,18504.0,2552.0,142484.0,133257.0,883634.0,57770.0,56455.0,118454.0,85972.0,1290416.0,1610.0,1696.0,22013.0,45596.0,84.0,218143.0
2019-12-31,19217.0,19704.0,2603.0,146849.0,146059.0,888813.0,60814.0,57500.0,121170.0,89857.0,1326405.0,1592.0,1691.0,22427.0,45867.0,82.0,214678.0
2020-03-31,19148.0,17778.0,2822.0,125747.0,96089.0,886922.0,53459.0,55107.0,119550.0,82294.0,1355344.0,1455.0,1539.0,22728.0,45895.0,51.0,212257.0
2020-06-30,19038.0,17883.0,3061.0,131412.0,131907.0,886921.0,56915.0,56454.0,118380.0,85102.0,1291612.0,1454.0,1673.0,21832.0,45595.0,84.0,
