Date,EMP,MSW,FS,PCI,Predictions
2015-03-31,42245,16333,12329,154769.0,
2015-06-30,42410,16164,12276,154020.0,154769.0
2015-09-30,42473,16166,12561,164632.0,154319.6
2015-12-31,42586,16832,13161,161678.0,157503.2
2016-03-31,42548,17367,13713,162611.0,162859.6
2016-06-30,42582,17156,13514,163474.0,162144.5
2016-09-30,42769,17545,13502,174771.0,162669.3
2016-12-31,42847,18186,14628,171404.0,172245.7
2017-03-31,43190,18578,15130,173330.0,167973.1
2017-06-30,43404,19206,15514,174884.0,173233.0
2017-09-30,43555,19327,15875,187229.0,173877.2
2017-12-31,43801,19769,16624,183258.0,183525.5
2018-03-31,44125,20566,17087,184671.0,183611.9
2018-06-30,44519,20923,17542,188748.0,184644.2
2018-09-30,44705,21067,17622,203831.0,186965.3
2018-12-31,44864,21481,17739,198601.0,194373.5
2019-03-31,45055,21978,18652,198858.0,198661.7
2019-06-30,45347,21787,19155,203386.0,198780.9
2019-09-30,45596,22013,19039,218143.0,199737.9
2019-12-31,45867,22427,19217,214678.0,212810.3
2020-03-31,45895,22728,19148,212257.0,212659.8
2020-06-30,45457,21782,18920,,207224.5
