Date,EMP,MSW,FS,PCI,Predictions
2015-03-31,42245.0,16333.0,12329.0,154769.0,
2015-06-30,42410.0,16164.0,12276.0,154020.0,154769.0
2015-09-30,42473.0,16166.0,12561.0,164632.0,154304.62
2015-12-31,42586.0,16832.0,13161.0,161678.0,160422.13
2016-03-31,42548.0,17367.0,13713.0,162611.0,162043.54
2016-06-30,42582.0,17156.0,13514.0,163474.0,162458.56
2016-09-30,42769.0,17545.0,13502.0,174771.0,162528.99
2016-12-31,42847.0,18186.0,14628.0,171404.0,170181.53
2017-03-31,43190.0,18578.0,15130.0,173330.0,171015.26
2017-06-30,43404.0,19206.0,15514.0,174884.0,172580.55
2017-09-30,43555.0,19327.0,15875.0,187229.0,174218.26
2017-12-31,43801.0,19769.0,16624.0,183258.0,184084.1
2018-03-31,44125.0,20566.0,17087.0,184671.0,182917.55
2018-06-30,44519.0,20923.0,17542.0,188748.0,183889.38
2018-09-30,44705.0,21067.0,17622.0,203831.0,186878.11
2018-12-31,44864.0,21481.0,17739.0,198601.0,197770.56
2019-03-31,45055.0,21978.0,18652.0,198858.0,197869.19
2019-06-30,45347.0,21787.0,19155.0,203386.0,198951.19
2019-09-30,45596.0,22013.0,19039.0,218143.0,201531.9
2019-12-31,45867.0,22427.0,19217.0,214678.0,211568.09
2020-03-31,45895.0,22728.0,19148.0,212257.0,213519.73
2020-06-30,45438.0,21880.0,19008.0,,206753.87
