Date,EMP,PCI,Predictions
2015-03-31,42245.0,154769.0,
2015-06-30,42410.0,154020.0,
2015-09-30,42473.0,164632.0,
2015-12-31,42586.0,161678.0,161485.85
2016-03-31,42548.0,162611.0,162310.38
2016-06-30,42582.0,163474.0,162006.1
2016-09-30,42769.0,174771.0,162182.28
2016-12-31,42847.0,171404.0,171321.49
2017-03-31,43190.0,173330.0,171916.59
2017-06-30,43404.0,174884.0,172862.91
2017-09-30,43555.0,187229.0,174351.92
2017-12-31,43801.0,183258.0,183308.81
2018-03-31,44125.0,184671.0,183911.47
2018-06-30,44519.0,188748.0,184434.2
2018-09-30,44705.0,203831.0,187479.27
2018-12-31,44864.0,198601.0,200390.43
2019-03-31,45055.0,198858.0,199560.61
2019-06-30,45347.0,203386.0,199131.58
2019-09-30,45596.0,218143.0,201697.79
2019-12-31,45867.0,214678.0,212865.67
2020-03-31,45895.0,212257.0,215084.83
2020-06-30,45438.0,,217055.08
